pcd1,urban_rural
EC1A,Urban
EC1M,Urban
EC2V,Urban
EC2Y,Urban
EC1Y,Urban
EC2A,Urban
EC2M,Urban
EC2P,Urban
EC2R,Urban
E1,Urban
EC3A,Urban
EC3N,Urban
IG11,Urban
RM10,Urban
RM9,Urban
RM8,Urban
RM5,Urban
RM6,Urban
RM7,Urban
RM12,Urban
RM1,Urban
EN4,Urban
N14,Urban
N20,Urban
N11,Urban
NW9,Urban
HA8,Urban
NW7,Urban
NW11,Urban
NW2,Urban
NW4,Urban
NW3,Urban
N10,Urban
N12,Urban
EN5,Urban
EN6,Urban
N2,Urban
N6,Urban
N3,Urban
HA7,Urban
NW6,Urban
WD6,Urban
DA7,Urban
DA1,Urban
DA6,Urban
DA5,Urban
DA17,Urban
SE2,Urban
DA15,Urban
SE9,Urban
DA8,Urban
DA16,Urban
DA14,Urban
DA18,Urban
SE28,Urban
HA0,Urban
UB6,Urban
NW10,Urban
HA9,Urban
HA3,Urban
NW26,Urban
W9,Urban
N8,Urban
NW8,Urban
HA1,Urban
W10,Urban
BR1,Urban
BR7,Urban
BR2,Urban
TN16,Urban
CR3,Urban
CR6,Urban
BR6,Urban
BR3,Urban
BR5,Urban
TN14,Rural
SE20,Urban
SE26,Urban
BR8,Urban
SE19,Urban
BR4,Urban
SE12,Urban
CR0,Urban
W1A,Urban
W1P,Urban
W1T,Urban
WC1B,Urban
WC1E,Urban
WC1H,Urban
NW1,Urban
WC1N,Urban
WC1A,Urban
NW5,Urban
N7,Urban
N19,Urban
EC1N,Urban
EC4A,Urban
WC1R,Urban
WC1V,Urban
WC1X,Urban
WC2A,Urban
WC2B,Urban
EC1R,Urban
WC2E,Urban
WC2H,Urban
WC2N,Urban
WC2R,Urban
WC99,Urban
CM23,Urban
N1,Urban
N1C,Urban
CR2,Urban
CR7,Urban
CR8,Urban
CR9,Urban
CR90,Urban
SE25,Urban
CR4,Urban
SW16,Urban
CR5,Urban
W3,Urban
W13,Urban
W7,Urban
W11,Urban
W12,Urban
W5,Urban
UB1,Urban
W4,Urban
UB2,Urban
UB5,Urban
TW8,Urban
UB7,Urban
W2,Urban
UB18,Urban
N13,Urban
N22,Urban
N18,Urban
EN1,Urban
N9,Urban
N21,Urban
N4,Urban
EN2,Urban
EN7,Urban
EN8,Urban
EN3,Urban
EN9,Urban
N17,Urban
SE3,Urban
SE10,Urban
SE18,Urban
SE7,Urban
SE13,Urban
SE8,Urban
N5,Urban
E5,Urban
N16,Urban
E9,Urban
E8,Urban
E2,Urban
EC1V,Urban
E15,Urban
N15,Urban
E20,Urban
W14,Urban
W6,Urban
SW6,Urban
SW1P,Urban
SW10,Urban
N81,Urban
HA2,Urban
HA5,Urban
HA4,Urban
WD2,Urban
WD23,Urban
RM14,Urban
RM11,Urban
RM13,Urban
RM3,Urban
RM2,Urban
RM4,Urban
CM14,Urban
CM13,Urban
RM15,Urban
UB4,Urban
UB11,Urban
UB3,Urban
UB8,Urban
UB10,Urban
UB9,Urban
WD3,Urban
TW14,Urban
TW5,Urban
TW6,Urban
TW19,Urban
HA6,Urban
TW4,Urban
TW13,Urban
TW15,Urban
SW13,Urban
TW3,Urban
TW7,Urban
TW1,Urban
TW2,Urban
EC1P,Urban
EC2N,Urban
EC3M,Urban
EC3P,Urban
EC3R,Urban
EC3V,Urban
EC4M,Urban
EC4N,Urban
EC4P,Urban
EC4R,Urban
EC4V,Urban
EC4Y,Urban
EC50,Urban
W1B,Urban
W1C,Urban
W1G,Urban
W1H,Urban
W1J,Urban
W1K,Urban
W1S,Urban
W1U,Urban
W1W,Urban
N1P,Urban
SW18,Urban
SW5,Urban
W8,Urban
SW1X,Urban
SW3,Urban
SW7,Urban
SW9,Urban
SW1W,Urban
SW1H,Urban
KT5,Urban
KT6,Urban
KT4,Urban
KT3,Urban
KT1,Urban
KT2,Urban
KT9,Urban
KT19,Urban
KT18,Urban
KT22,Urban
SW20,Urban
SW15,Urban
KT7,Urban
TW10,Urban
SE1,Urban
SE11,Urban
SW2,Urban
SW4,Urban
SW12,Urban
SW8,Urban
SE24,Urban
SE5,Urban
SW99,Urban
SE21,Urban
SE27,Urban
SW95,Urban
SE6,Urban
SE23,Urban
SE14,Urban
SE4,Urban
SE16,Urban
SE15,Urban
SW19,Urban
SM4,Urban
SW17,Urban
SM3,Urban
E6,Urban
E16,Urban
E13,Urban
E3,Urban
E12,Urban
E7,Urban
IG6,Urban
IG2,Urban
IG4,Urban
IG5,Urban
IG1,Urban
IG8,Urban
IG9,Urban
E18,Urban
IG3,Urban
IG7,Urban
E11,Urban
SW14,Urban
TW11,Urban
TW12,Urban
KT8,Urban
TW9,Urban
SE99,Urban
SE17,Urban
SE22,Urban
SE1P,Urban
CR44,Urban
SM6,Urban
SM2,Urban
SM5,Urban
SM1,Urban
SM7,Urban
KT17,Urban
E14,Urban
E1W,Urban
E4,Urban
E98,Urban
E10,Urban
E17,Urban
SW11,Urban
SW1E,Urban
W1N,Urban
W1M,Urban
SW1V,Urban
W1R,Urban
W1,Urban
SW1A,Urban
SW1Y,Urban
W1D,Urban
W1V,Urban
W1X,Urban
W1Y,Urban
W1F,Urban
BL1,Urban
BL7,Urban
BL5,Urban
BL6,Urban
WN2,Urban
WN1,Urban
BL4,Urban
BL2,Urban
BL8,Urban
BL3,Urban
BL78,Urban
M28,Urban
M38,Urban
BL11,Urban
M29,Urban
M46,Urban
M26,Urban
M25,Urban
M45,Urban
BL9,Urban
M24,Urban
BL0,Urban
M21,Urban
M7,Urban
M8,Urban
M12,Urban
M13,Urban
M60,Urban
M18,Urban
M1,Urban
M23,Urban
WA15,Urban
M20,Urban
M22,Urban
M11,Urban
M35,Urban
M43,Urban
M9,Urban
M40,Urban
M33,Urban
M19,Urban
SK4,Urban
M10,Urban
M4,Urban
M3,Urban
M14,Urban
M16,Urban
M15,Urban
